МОЭСК;B;MSRS;1;0.001
ФСК ЕЭС ао;B;FEES;1;0.0001
РусГидро;B;HYDR;1;0.001
ИнтерРАОао;B;IRAO;1;0.0005
ОГК-2 ао;B;OGKB;1;0.0001
+МосЭнерго;B;MSNG;1;0.0005
ЭЛ5-Энерго;B;ELFV;1;0.001
Юнипро ао;B;UPRO;1;0.001
ТГК-1;B;TGKA;1;0.00001
Ленэнерго;B;LSNG;1;0.001
Ленэнерго-п;B;LSNGP;1;0.001
МРСК ЦП;B;MRKP;1;0.001
Эн+;B;ENPG;1;0.1
Ростел -ао;B;RTKM;1;0.01
Ростел -ап;B;RTKMP;1;0.05
МТС-ао;B;MTSS;1;0.05
МГТС ао;B;MGTS;1;1
МГТС ап;B;MGTSP;1;1
ГАЗПРОМ ао;B;GAZP;1;0.01
Новатэк ао;B;NVTK;1;0.1
Роснефть;B;ROSN;1;0.05
ЛУКОЙЛ;B;LKOH;1;0.5
Газпромнефть;B;SIBN;1;0.1
Сургнфгз;B;SNGS;1;0.005
Сургнфгз-п;B;SNGSP;1;0.005
Татнфт 3ао;B;TATN;1;0.05
Татнфт 3ап;B;TATNP;1;0.1
Транснефть ап;B;TRNFP;1;1
АЛРОСА ао;B;ALRS;1;0.01
ММК;B;MAGN;1;0.005
СевСт-ао;B;CHMF;1;0.1
ГМКНорНик;B;GMKN;1;1
НЛМК ао;B;NLMK;1;0.01
ТМК ао;B;TRMK;1;0.05
Русал;B;RUAL;1;0.1
Полюс;B;PLZL;1;1
Т-Техно ао;B;T;1;1
ВСМПО-АВСМ;B;VSMO;1;1
X5 Retail;B;X5;1;1
Магнит ао;B;MGNT;1;1
МосБиржа;B;MOEX;1;0.01
СПБ Биржа;B;SPBE;1;1
Сбербанк;B;SBER;1;0.01
Сбербанк-п;B;SBERP;1;0.01
ВТБ ао;B;VTBR;1;1
Совкомбанк;B;SVCB;1;0.1
Аэрофлот;B;AFLT;1;1
ФосАгро ао;B;PHOR;1;1
Акрон;B;AKRN;1;5
РусАгро;B;RAGR;1;1
ЧеркизГ-ао;B;GCHE;1;1
Нижнекамскнефтехим;B;NKNC;1;0.01
Нижнекамскнефтехим ап;B;NKNCP;1;0.01
Казаньоргсинтез;B;KZOS;1;0.1
Казаньоргсинтез ап;B;KZOSP;1;0.1
Система ао;B;AFKS;1;0.005
VK;B;VKCO;1;1
HeadHunter Group гдр;B;HEAD;1;1
М.видео;B;MVID;1;0.1
FixPrice;B;FIXR;1;1
НМТП ао;B;NMTP;1;0.01
Совкомфлот;B;FLOT;1;1
НКХП;B;NKHP;1;0.1
ЛСР ао;B;LSRG;1;0.5
ПИК;B;PIKK;1;1
Самолет;B;SMLT;1;1
Эталон;B;ETLN;1;1
Сегежа;B;SGZH;1;0.1
Европейский медицинский центр;B;GEMC;1;1
Яндекс;B;YDEX;1;1